E,nu,RMSE
200000000000,0.25,0
200000000000,0.275,0
200000000000,0.3,0
240000000000,0.25,0
240000000000,0.275,0
240000000000,0.3,0
280000000000,0.25,0
280000000000,0.275,0
280000000000,0.3,0
320000000000,0.25,0
320000000000,0.275,0
320000000000,0.3,0
360000000000,0.25,0
360000000000,0.275,0
360000000000,0.3,0
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.200000e+11,2.500000e-01,NaN
3.200000e+11,2.750000e-01,NaN
3.200000e+11,3.000000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.200000e+11,2.500000e-01,NaN
3.200000e+11,2.750000e-01,NaN
3.200000e+11,3.000000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.500000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.200000e+11,2.200000e-01,NaN
3.200000e+11,2.500000e-01,NaN
3.200000e+11,2.750000e-01,NaN
3.200000e+11,3.000000e-01,NaN
3.600000e+11,2.200000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.200000e+11,2.200000e-01,NaN
3.200000e+11,2.500000e-01,NaN
3.200000e+11,2.750000e-01,NaN
3.200000e+11,3.000000e-01,NaN
3.600000e+11,2.200000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.200000e+11,2.200000e-01,NaN
3.200000e+11,2.500000e-01,NaN
3.200000e+11,2.750000e-01,NaN
3.200000e+11,3.000000e-01,NaN
3.600000e+11,2.200000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.600000e+11,2.200000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.600000e+11,2.200000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.600000e+11,2.200000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
2.000000e+11,2.750000e-01,NaN
2.000000e+11,3.000000e-01,NaN
2.400000e+11,2.200000e-01,NaN
2.400000e+11,2.500000e-01,NaN
2.400000e+11,2.750000e-01,NaN
2.400000e+11,3.000000e-01,NaN
2.800000e+11,2.200000e-01,NaN
2.800000e+11,2.500000e-01,NaN
2.800000e+11,2.750000e-01,NaN
2.800000e+11,3.000000e-01,NaN
3.600000e+11,2.200000e-01,NaN
3.600000e+11,2.500000e-01,NaN
3.600000e+11,2.750000e-01,NaN
3.600000e+11,3.000000e-01,NaN
1.600000e+11,2.200000e-01,NaN
1.600000e+11,2.500000e-01,NaN
1.600000e+11,2.750000e-01,NaN
1.600000e+11,3.000000e-01,NaN
2.000000e+11,2.200000e-01,NaN
2.000000e+11,2.500000e-01,NaN
